Title,Author,Abstract,Keywords,Publication title,Country of publication,Publication year,Source type,Language of publication,DOI Link,Database
Gamification In Learning And Development: A Qualitative Study On The Indian Mining Sector,"Sharma, Aprajita1; Pandey, Saumya1; Singh, Sharda2; Ghatak, Indrani21 Management Student, Human Resource Management Program, Xavier Institute of Social Service, Ranchi, Jharkhand, India2 Assistant Professor, Human Resource Management Program, Xavier Institute of Social Service, Ranchi, Jharkhand, India","In the dynamic volatile, uncertain, complex, ambiguous (VUCA) landscape, industries like metals and mining face a pressing challenge of skill scarcity due to the struggle to keep up with technological advancements. To revitalize their workforce and appeal to younger generations, integrating gamification into learning and development approaches holds immense potential. Employee motivation and knowledge retention can be elevated by infusing game mechanics such as badges, points, and leaderboards. Gamification fosters engagement, teamwork, and innovation through interactive experiences. This approach can effectively address the skill shortage by enhancing the industry's attractiveness and competitiveness. The paper aims to investigate the skill deficit in the metals and mining sector and explore how gamified learning methods can effectively alleviate this challenge, ultimately aiding in talent acquisition and retention. The study used purposive sampling, and data was gathered through semi-structured interviews with primary stakeholders of learning and development functions. Further, the qualitative data was subjected to thematic analysis using NVivo software. Two significant themes, from eight sub-themes that emerged from thirty codes, were identified. The first theme was issues with the young generation, and the second was the benefits of gamification in learning and development. The study suggests the need for and advantage of gamification in human resource management's learning and development function.",Empty,IUP Journal of Organizational Behavior; Hyderabad,India,Apr 2024,Scholarly Journal,English,Empty,"ProQuest One Sustainability,ProQuest One Business,ProQuest One Psychology"
Ai-Edge: An Nsf Ai Institute For Future Edge Networks And Distributed Intelligence,"Ju, Peizhong1; Li, Chengzhang1; Liang, Yingbin1; Shroff, Ness11 Ohio State University, Columbus, Ohio, USA","This paper highlights the overall endeavors of the NSF AI Institute for Future Edge Networks and Distributed Intelligence (AI-EDGE) to create a research, education, knowledge transfer, and workforce development environment for developing technological leadership in next-generation edge networks (6G and beyond) and artificial intelligence (AI). The research objectives of AI-EDGE are twofold: ""AI for Networks"" and ""Networks for AI."" The former develops new foundational AI techniques to revolutionize technologies for next-generation edge networks, while the latter develops advanced networking techniques to enhance distributed and interconnected AI capabilities at edge devices. These research investigations are conducted across eight symbiotic thrust areas that work together to address the main challenges towards those goals. Such a synergistic approach ensures a virtuous research cycle so that advances in one area will accelerate advances in the other, thereby paving the way for a new generation of networks that are not only intelligent but also efficient, secure, self-healing, and capable of solving large-scale distributed AI challenges. This paper also outlines the institute's endeavors in education and workforce development, as well as broadening participation and enforcing collaboration.",Empty,AI Magazine; La Canada,United States,Spring 2024,Scholarly Journal,English,https://doi.org/10.1002/aaai.12145,"ABI/INFORM Collection,ProQuest One Sustainability,ProQuest One Business,ProQuest One Applied & Life Sciences,SciTech Premium Collection,ProQuest One Social Sciences"
Knowledge Exchange In The Context Of Remote Work: Generation Z Perspective,"Albrychiewicz-Słocińska, Anna11 Department of Applied Sociology and Human Resource Management, Faculty of Management, Częstochowa University of Technology, Poland","The key element of knowledge management is that all knowledge, both explicit and tacit, accumulated by an organization becomes easily accessible to each of its members. This is important for decision-making processes and allows the organization to become more agile. In the literature there is an increasingly common attitude that more attention should be paid not only to the technological but also to the human aspect of knowledge management. The processes of knowledge exchange among employees have been subject to extensive research and studies, yet the recent years have added another thread to the discussion about the matter, i.e. a significant proportion of employees switching to the online work model. The aim of this article is to demonstrate how issues of knowledge exchange and learning influence preferences in choosing the form of work in the future. Based on the findings of the studies conducted on a group of employees representing Generation Z, the Principal Component Analysis (PCA) technique and was applied to organize the factors with the highest relevance for the respondents in online work. Cluster analysis was used for segmentation purposes. PCA demonstrated that the components recognized as most important were those relating to knowledge transfer and their impact on employee efficiency, and on the other hand employee relations as a factor that supports the learning processes. Cluster analysis proved that learning and knowledge exchange opinions have an impact on the form of work preferences.","Learning, Knowledge Exchange, Remote Work, Generation Z",European Conference on Knowledge Management; Kidmore End,United Kingdom,Sep 2024,Conference Paper,English,Empty,"ABI/INFORM Collection,ProQuest One Sustainability,ProQuest One Business,ProQuest One Applied & Life Sciences,SciTech Premium Collection"
Capital Intelectual Como Generador De Productividad Y Competitividad En La Educación Superior: Una Revisión Sistemática,Sandra Valbuena Antolínez    ; Claudia Milena Pico Bonilla,"Objetivo: sistematizar los abordajes metodológicos y los resultados relacionados con la competitividad y la productividad, dentro de la gestión del conocimiento y la medición del capital intelectual. Diseño/metodología/enfoque: se realizó la revisión de la literatura, utilizando las directrices PRISMA y el integrated design en Scopus para analizar cómo se complementan los enfoques cuantitativo, cualitativo y mixto. Resultados: se encontraron cuatro estudios con énfasis en la productividad medida por la vinculación con las tecnologías de la información, y en los procesos de la gestión estratégica y del conocimiento; seis estudios centrados en la competitividad con la observación de variables como valor social, sostenibilidad, tercera misión, transferencia tecnológica, renovación económica; y, otros diez estudios que se aproximan de forma integrada a los conceptos de productividad y competitividad para explicar el impacto que tiene el conocimiento en el entorno y en los grupos de interés a través de variables como imagen, reputación, impacto sectorial, liderazgo, innovación y relacionamiento con la empresa. Por otra parte, se encuentra un consenso sobre el desagregado del capital intelectual en humano, relacional y estructural. Conclusiones: la investigación en gestión del conocimiento y capital intangible se encuentra en una etapa temprana con avances y consensos desde un enfoque mixto, en su mayoría desde un abordaje transversal sobre los tipos de capital y los elementos que favorecen la gestión y la medición. Los modelos de capital intelectual contextualizados para el sector garantizan el uso de la capacidad institucional para el cumplimiento de metas (productividad) y el impacto a los grupos de interés (competitividad), desde la sostenibilidad, la transferencia de conocimiento, la innovación y el compromiso con las comunidades, el relevo generacional y el liderazgo institucional. Originalidad: las revisiones sistemáticas previas estudian los conceptos y modelos de capital intelectual, pero ninguna se enfoca en crear valor a partir de los conceptos de productividad y competitividad en el contexto de la educación. Alternate abstract: Objective: To review studies about knowledge management and intellectual capital measurement in order to categorize their methodological approaches and findings. Design/Methodology: Following the Preferred Reporting Items for Systematic reviews and Meta-Analyses (PRISMA) guidelines and integrated design, this literature review was conducted using the Scopus database to analyze how quantitative, qualitative, and mixed methods complement each other in this field. Findings: Four studies emphasized productivity, focusing on its relationship with information technologies, knowledge management, and strategic management. Six studies centered on competitiveness, examining variables such as social value, sustainability, third mission activities, technology transfer, and economic renewal. Ten other studies addressed both productivity and competitiveness in an integrated manner to explain the impact of knowledge on the environment and stakeholders through variables like image, reputation, sectoral impact, leadership, innovation, and relationships with the business sector. Moreover, the analysis revealed a consensus in the literature: intellectual capital can be divided into human, relational, and structural capital. Conclusions: Research on knowledge management and intangible capital is in its early stages, but it has made progress and reached consensus primarily using a mixed-methods approach. Most of this research has been cross-sectional and examined different types of capital and the elements that facilitate their management and measurement. Intellectual capital models tailored to the education sector guarantee that institutional capacities are employed to achieve goals (productivity) and impact stakeholders (competitiveness) through sustainability, knowledge transfer, innovation, social commitment, generational shift, and institutional leadership. Originality: Previous systematic reviews have examined concepts and models of intellectual capital, but none had focused on value creation from the concepts of productivity and competitiveness in education.",capital intelectual; competitividad económica; gestión del conocimiento; medición del capital intelectual; educación superior; intellectual capital; economic competitiveness; knowledge management; intellectual capital measurement; higher education,Revista CEA; Medellín,Colombia,Sep-Dec 2024,Scholarly Journal,Spanish,https://doi.org/10.22430/24223182.2916,"ABI/INFORM Collection,ProQuest One Sustainability,ProQuest One Business,Publicly Available Content Database,Coronavirus Research Database,ProQuest One Social Sciences"
Creation Of The Sonntag Virtual Reality Laboratory: A Framework For Innovation In Neurosurgical Training And Global Education,"Giraldo, Juan P1; Cho, Steve S; Farber, S Harrison; Godzik, Jakub; Ehredt, Ryan B; Michaels, Chinami; Fotias, Demos J; Sonntag, Volker K H; Uribe, Juan S1 Department of Neurosurgery, Barrow Neurological Institute, St. Joseph's Hospital and Medical Center, Phoenix, Arizona, USA","Neurosurgical education requires innovative approaches to meet the demands of an evolving field and adequately train the next generation of surgeons. The Sonntag Virtual Reality Laboratory (SVRL) was established to transform neurosurgical education by harnessing immersive technologies such as virtual reality (VR), augmented reality (AR), and mixed reality (MR). Inspired by the legacy of Dr Volker K. H. Sonntag, the SVRL aims to enhance skill acquisition and knowledge retention through high-fidelity simulations, interactive anatomic modules, and advanced spine procedure training. BACKGROUND AND OBJECTIVES Neurosurgical education requires innovative approaches to meet the demands of an evolving field and adequately train the next generation of surgeons. The Sonntag Virtual Reality Laboratory (SVRL) was established to transform neurosurgical education by harnessing immersive technologies such as virtual reality (VR), augmented reality (AR), and mixed reality (MR). Inspired by the legacy of Dr Volker K. H. Sonntag, the SVRL aims to enhance skill acquisition and knowledge retention through high-fidelity simulations, interactive anatomic modules, and advanced spine procedure training.A multidisciplinary team of neurosurgeons, medical educators, and technology experts collaborated to align SVRL development with core educational goals. The initial phase focused on curriculum design and assessment metrics, followed by the creation of customized VR, AR, and MR modules targeting essential neurosurgical procedures and concepts. All of these modules underwent iterative testing and refinement to ensure educational value and clinical relevance. METHODS A multidisciplinary team of neurosurgeons, medical educators, and technology experts collaborated to align SVRL development with core educational goals. The initial phase focused on curriculum design and assessment metrics, followed by the creation of customized VR, AR, and MR modules targeting essential neurosurgical procedures and concepts. All of these modules underwent iterative testing and refinement to ensure educational value and clinical relevance.The SVRL has produced innovative applications, including a VR-based freehand pedicle screw placement application, an MR scoliosis module, an ultrarapid artificial intelligence-driven spine model, and a comprehensive VR pathology library. Trainee feedback has been positive, citing improvements in decision-making, technical proficiency, and conceptual understanding. Engagement with SVRL tools has been associated with an increased interest in neurosurgical topics and enhanced learner confidence. RESULTS The SVRL has produced innovative applications, including a VR-based freehand pedicle screw placement application, an MR scoliosis module, an ultrarapid artificial intelligence-driven spine model, and a comprehensive VR pathology library. Trainee feedback has been positive, citing improvements in decision-making, technical proficiency, and conceptual understanding. Engagement with SVRL tools has been associated with an increased interest in neurosurgical topics and enhanced learner confidence.The SVRL represents a forward-thinking approach to neurosurgical training. By offering immersive, scalable, and globally accessible educational experiences, the SVRL breaks down traditional learning barriers. Its early success highlights the potential to reshape surgical education and improve the preparedness of future neurosurgeons worldwide. CONCLUSION The SVRL represents a forward-thinking approach to neurosurgical training. By offering immersive, scalable, and globally accessible educational experiences, the SVRL breaks down traditional learning barriers. Its early success highlights the potential to reshape surgical education and improve the preparedness of future neurosurgeons worldwide.",Empty,"Operative neurosurgery (Hagerstown, Md.)",UNITED STATES,2026,Scholarly Journal,English,https://doi.org/10.1227/ons.0000000000001893,"ProQuest One Applied & Life Sciences,SciTech Premium Collection,ProQuest One Health & Nursing"
Bridging Industrial Expertise And Xr With Llm-Powered Conversational Agents,"Tomkou, Despina; Fatouros, George; Andreou, Andreas; Makridis, Georgios; Liarokapis, Fotis; Dardanis, Dimitrios; Kiourtis, Athanasios; Soldatos, John; Kyriazis, Dimosthenis","This paper introduces a novel integration of Retrieval-Augmented Generation (RAG) enhanced Large Language Models (LLMs) with Extended Reality (XR) technologies to address knowledge transfer challenges in industrial environments. The proposed system embeds domain-specific industrial knowledge into XR environments through a natural language interface, enabling hands-free, context-aware expert guidance for workers. We present the architecture of the proposed system consisting of an LLM Chat Engine with dynamic tool orchestration and an XR application featuring voice-driven interaction. Performance evaluation of various chunking strategies, embedding models, and vector databases reveals that semantic chunking, balanced embedding models, and efficient vector stores deliver optimal performance for industrial knowledge retrieval. The system's potential is demonstrated through early implementation in multiple industrial use cases, including robotic assembly, smart infrastructure maintenance, and aerospace component servicing. Results indicate potential for enhancing training efficiency, remote assistance capabilities, and operational guidance in alignment with Industry 5.0's human-centric and resilient approach to industrial development.",Computation and Language; Artificial Intelligence,arXiv.org; Ithaca,United States,"Apr 7, 2025",Working Paper,English,https://doi.org/10.1109/DCOSS-IoT65416.2025.00158,"Publicly Available Content Database,ProQuest One Applied & Life Sciences,SciTech Premium Collection"
Socially Interactive Agents For Preserving And Transferring Tacit Knowledge In Organizations,"Benderoth, Martin; Gebhard, Patrick; Keller, Christian; Nakhosteen, C Benjamin; Schaffer, Stefan; Schneeberger, Tanja","This paper introduces a novel approach to tackle the challenges of preserving and transferring tacit knowledge--deep, experience-based insights that are hard to articulate but vital for decision-making, innovation, and problem-solving. Traditional methods rely heavily on human facilitators, which, while effective, are resource-intensive and lack scalability. A promising alternative is the use of Socially Interactive Agents (SIAs) as AI-driven knowledge transfer facilitators. These agents interact autonomously and socially intelligently with users through multimodal behaviors (verbal, paraverbal, nonverbal), simulating expert roles in various organizational contexts. SIAs engage employees in empathic, natural-language dialogues, helping them externalize insights that might otherwise remain unspoken. Their success hinges on building trust, as employees are often hesitant to share tacit knowledge without assurance of confidentiality and appreciation. Key technologies include Large Language Models (LLMs) for generating context-relevant dialogue, Retrieval-Augmented Generation (RAG) to integrate organizational knowledge, and Chain-of-Thought (CoT) prompting to guide structured reflection. These enable SIAs to actively elicit knowledge, uncover implicit assumptions, and connect insights to broader organizational contexts. Potential applications span onboarding, where SIAs support personalized guidance and introductions, and knowledge retention, where they conduct structured interviews with retiring experts to capture heuristics behind decisions. Success depends on addressing ethical and operational challenges such as data privacy, algorithmic bias, and resistance to AI. Transparency, robust validation, and a culture of trust are essential to mitigate these risks.",Human-Computer Interaction,arXiv.org; Ithaca,United States,"Aug 27, 2025",Working Paper,English,Empty,"Publicly Available Content Database,ProQuest One Applied & Life Sciences,SciTech Premium Collection"
Effortnet: A Deep Learning Framework For Objective Assessment Of Speech Enhancement Technologies Using Eeg-Based Alpha Oscillations,"Ching-Chih Sung; Cheng-Hung, Hsin; Yu-Anne Shiah; Lin, Bo-Jyun; Yi-Xuan, Lai; Chia-Ying, Lee; Yu-Te, Wang; Su, Borchin; Tsao, Yu","This paper presents EffortNet, a novel deep learning framework for decoding individual listening effort from electroencephalography (EEG) during speech comprehension. Listening effort represents a significant challenge in speech-hearing research, particularly for aging populations and those with hearing impairment. We collected 64-channel EEG data from 122 participants during speech comprehension under four conditions: clean, noisy, MMSE-enhanced, and Transformer-enhanced speech. Statistical analyses confirmed that alpha oscillations (8-13 Hz) exhibited significantly higher power during noisy speech processing compared to clean or enhanced conditions, confirming their validity as objective biomarkers of listening effort. To address the substantial inter-individual variability in EEG signals, EffortNet integrates three complementary learning paradigms: self-supervised learning to leverage unlabeled data, incremental learning for progressive adaptation to individual characteristics, and transfer learning for efficient knowledge transfer to new subjects. Our experimental results demonstrate that Effort- Net achieves 80.9% classification accuracy with only 40% training data from new subjects, significantly outperforming conventional CNN (62.3%) and STAnet (61.1%) models. The probability-based metric derived from our model revealed that Transformer-enhanced speech elicited neural responses more similar to clean speech than MMSEenhanced speech. This finding contrasted with subjective intelligibility ratings but aligned with objective metrics. The proposed framework provides a practical solution for personalized assessment of hearing technologies, with implications for designing cognitive-aware speech enhancement systems.",Audio and Speech Processing,arXiv.org; Ithaca,United States,"Aug 21, 2025",Working Paper,English,Empty,"Publicly Available Content Database,ProQuest One Applied & Life Sciences,SciTech Premium Collection"
"Towards Effective Immersive Technologies In Medicine: Potential And Future Applications Based On Vr, Ar, Xr And Ai Solutions","Marozau, Aliaksandr; Karpowicz, Barbara; Kowalewski, Tomasz; Zinevych, Pavlo; Stawski, Wiktor; Kuzdraliński, Adam; Kopeć, Wiesław","Mixed Reality (MR) technologies such as Virtual and Augmented Reality (VR, AR) are well established in medical practice, enhancing diagnostics, treatment, and education. However, there are still some limitations and challenges that may be overcome thanks to the latest generations of equipment, software, and frameworks based on eXtended Reality (XR) by enabling immersive systems that support safer, more controlled environments for training and patient care. Our review highlights recent VR and AR applications in key areas of medicine. In medical education, these technologies provide realistic clinical simulations, improving skills and knowledge retention. In surgery, immersive tools enhance procedural precision with detailed anatomical visualizations. VR-based rehabilitation has shown effectiveness in restoring motor functions and balance, particularly for neurological patients. In mental health, VR has been successful in treating conditions like PTSD and phobias. Although VR and AR solutions are well established, there are still some important limitations, including high costs and limited tactile feedback, which may be overcome with implementing new technologies that may improve the effectiveness of immersive medical applications such as XR, psychophysiological feedback or integration of artificial intelligence (AI) for real-time data analysis and personalized healthcare and training.",Human-Computer Interaction,arXiv.org; Ithaca,United States,"Jul 25, 2025",Working Paper,English,Empty,"Publicly Available Content Database,ProQuest One Applied & Life Sciences,SciTech Premium Collection"
A Computational Model Of Inclusive Pedagogy: From Understanding To Application,"Balzan, Francesco; Santos, Pedro P; Gabbrielli, Maurizio; Albarracin, Mahault; Lopes, Manuel","Human education transcends mere knowledge transfer, it relies on co-adaptation dynamics -- the mutual adjustment of teaching and learning strategies between agents. Despite its centrality, computational models of co-adaptive teacher-student interactions (T-SI) remain underdeveloped. We argue that this gap impedes Educational Science in testing and scaling contextual insights across diverse settings, and limits the potential of Machine Learning systems, which struggle to emulate and adaptively support human learning processes. To address this, we present a computational T-SI model that integrates contextual insights on human education into a testable framework. We use the model to evaluate diverse T-SI strategies in a realistic synthetic classroom setting, simulating student groups with unequal access to sensory information. Results show that strategies incorporating co-adaptation principles (e.g., bidirectional agency) outperform unilateral approaches (i.e., where only the teacher or the student is active), improving the learning outcomes for all learning types. Beyond the testing and scaling of context-dependent educational insights, our model enables hypothesis generation in controlled yet adaptable environments. This work bridges non-computational theories of human education with scalable, inclusive AI in Education systems, providing a foundation for equitable technologies that dynamically adapt to learner needs.",Computers and Society; Artificial Intelligence,arXiv.org; Ithaca,United States,"May 2, 2025",Working Paper,English,Empty,"Publicly Available Content Database,ProQuest One Applied & Life Sciences,SciTech Premium Collection"
